,Unnamed: 0,exposure,code,category,midcategory,subcategory,month,hour,repeat,sex,installment,price_log,holiday,count_log,pred_revenue
0,0,20,201971,의류,상의,셔츠,6,6,1,남성,무관,10.998777662206932,0,190.61441782875227,11398742.186159382
1,1,20,201971,의류,상의,셔츠,6,6,2,남성,무관,10.998777662206932,0,272.07252422201515,16269936.948476499
2,2,20,201971,의류,상의,셔츠,6,7,3,남성,무관,10.998777662206932,0,571.3157972924718,34164684.6780898
3,3,20,202278,속옷,속옷,속옷,6,7,1,무관,무관,11.154835234271214,0,179.3519195774443,12536699.17846335
4,4,20,202278,속옷,속옷,속옷,6,7,2,무관,무관,11.154835234271214,0,373.43467858803433,26103084.033303585
5,5,20,202278,속옷,속옷,속옷,6,8,3,무관,무관,11.154835234271214,0,608.776991040341,42553511.673719816
6,6,20,201247,이미용,헤어,헤어드라이어,6,8,1,무관,무관,10.985309671896763,0,268.36160648652105,15833334.782704735
7,7,20,201247,이미용,헤어,헤어드라이어,6,8,2,무관,무관,10.985309671896763,0,457.8631307964263,27013924.716989137
8,8,20,201247,이미용,헤어,헤어드라이어,6,9,3,무관,무관,10.985309671896763,0,606.9505252993413,35810080.99266112
9,9,20,201956,주방,냄비,냄비,6,9,1,무관,무관,11.599112335481124,0,151.00507192731,16459552.840076791
10,10,20,201956,주방,냄비,냄비,6,9,2,무관,무관,11.599112335481124,0,316.9538760917207,34547972.49399756
11,11,20,201956,주방,냄비,냄비,6,10,3,무관,무관,11.599112335481124,0,423.13286757955547,46121482.56617155
12,12,20,201091,속옷,속옷,속옷,6,10,1,무관,무관,11.000448478455008,0,364.09105300665976,21809054.075098928
13,13,20,201091,속옷,속옷,속옷,6,10,2,무관,무관,11.000448478455008,0,570.1178177347011,34150057.28230861
14,14,20,201091,속옷,속옷,속옷,6,11,3,무관,무관,11.000448478455008,0,571.7540323594754,34248066.53833259
15,15,20,200016,농수축,김치,김치,6,11,1,무관,무관,10.61890979160975,0,758.3065783784748,31014739.055679623
16,16,20,200016,농수축,김치,김치,6,11,2,무관,무관,10.61890979160975,0,1093.4312754977357,44721339.16785739
17,17,20,200016,농수축,김치,김치,6,12,3,무관,무관,10.61890979160975,0,1260.6838790724364,51561970.65406266
18,18,20,200217,속옷,속옷,속옷,6,12,1,무관,무관,11.511934974596555,0,127.25116824864728,12712391.708039857
19,19,20,200217,속옷,속옷,속옷,6,12,2,무관,무관,11.511934974596555,0,347.73361879130925,34738588.51725178
20,20,20,200217,속옷,속옷,속옷,6,13,3,무관,무관,11.511934974596555,0,401.1838667701537,40078268.29033834
21,21,20,201150,이미용,자외선차단,선스틱,6,15,1,무관,무관,10.594156665220533,0,519.2063961973425,20716335.208273955
22,22,20,201150,이미용,자외선차단,선스틱,6,15,2,무관,무관,10.594156665220533,0,889.2124178284996,35479575.471357115
23,23,20,201150,이미용,자외선차단,선스틱,6,16,3,무관,무관,10.594156665220533,0,797.5488591143782,31822199.47866367
24,24,20,201616,농수축,수산물,돔,6,16,1,무관,무관,10.594156665220533,0,665.2491621396339,26543441.569371376
25,25,20,201616,농수축,수산물,돔,6,16,2,무관,무관,10.594156665220533,0,976.1750584584504,38949384.83249215
26,26,20,201616,농수축,수산물,돔,6,17,3,무관,무관,10.594156665220533,0,1305.4524931728201,52087554.47759549
27,27,20,201251,농수축,간편식,오메기떡,6,17,1,무관,무관,10.305647203635566,0,831.1947086714872,24852721.789277464
28,28,20,201250,농수축,간편식,오메기떡,6,17,1,무관,무관,10.305647203635566,0,831.1947086714872,24852721.789277464
29,29,20,201251,농수축,간편식,오메기떡,6,17,2,무관,무관,10.305647203635566,0,1061.6575033624067,31743559.350535955
30,30,20,201250,농수축,간편식,오메기떡,6,17,2,무관,무관,10.305647203635566,0,1061.6575033624067,31743559.350535955
31,31,20,201251,농수축,간편식,오메기떡,6,18,3,무관,무관,10.305647203635566,0,1167.2487101043012,34900736.4321186
32,32,20,201250,농수축,간편식,오메기떡,6,18,3,무관,무관,10.305647203635566,0,1167.2487101043012,34900736.4321186
33,33,20,200424,가전,세탁기,세탁기,6,18,1,무관,무관,13.122165357799739,0,45.89279438169863,22941807.911411103
34,34,20,200424,가전,세탁기,세탁기,6,18,2,무관,무관,13.122165357799739,0,88.91757765502967,44449897.06974925
35,35,20,200424,가전,세탁기,세탁기,6,19,3,무관,무관,13.122165357799739,0,107.6800203104223,53829242.15318
36,36,20,201319,의류,상의,티셔츠,6,19,1,남성,무관,10.594156665220533,0,511.51525577182247,20409458.705295704
37,37,20,201319,의류,상의,티셔츠,6,19,2,남성,무관,10.594156665220533,0,912.7944707452324,36420499.38273475
38,38,20,201319,의류,상의,티셔츠,6,20,3,남성,무관,10.594156665220533,0,1034.616747189663,41281208.212867536
39,39,20,201520,생활용품,욕실용품,비데,6,20,1,무관,무관,12.149507585033074,0,123.43388319491899,23329003.923839714
40,40,20,201520,생활용품,욕실용품,비데,6,20,2,무관,무관,12.149507585033074,0,264.4091022378907,49973320.3229614
41,41,20,201520,생활용품,욕실용품,비데,6,21,3,무관,무관,12.149507585033074,0,457.1797589773496,86406974.44671917
42,42,20,200416,가전,TV,55인치,6,21,1,무관,무관,14.108180918195472,0,4.881864965033291,6541699.0531446105
43,43,20,200419,가전,TV,65인치,6,21,1,무관,무관,14.36939624590319,0,4.1320641228698625,7189791.573793554
44,44,20,200422,가전,TV,75인치,6,21,1,무관,무관,14.727793670047236,0,3.3016845712477125,8221194.582406806
45,45,20,200416,가전,TV,55인치,6,21,2,무관,무관,14.108180918195472,0,7.017002464380087,9402783.30226932
46,46,20,200419,가전,TV,65인치,6,21,2,무관,무관,14.36939624590319,0,8.01635759752742,13948462.219697699
47,47,20,200422,가전,TV,75인치,6,21,2,무관,무관,14.727793670047236,0,4.882664292621693,12157834.088628018
48,48,20,200416,가전,TV,55인치,6,22,3,무관,무관,14.108180918195472,0,8.930486833632576,11966852.357067654
49,49,20,200419,가전,TV,65인치,6,22,3,무관,무관,14.36939624590319,0,11.847559918390006,20614754.257998593
50,50,20,200422,가전,TV,75인치,6,22,3,무관,무관,14.727793670047236,0,7.32950498015384,18250467.400583066
51,51,20,200724,가구,침대,슈퍼싱글,6,22,1,무관,무관,13.214032390746008,0,15.779833941425894,8647348.999901405
52,52,20,200727,가구,침대,퀸,6,22,1,무관,무관,13.301347705172171,0,11.174024699055801,6682066.770035354
53,53,20,200730,가구,침대,킹,6,22,1,무관,무관,13.381647518543096,0,11.232274924818801,7278514.151282569
54,54,20,200724,가구,침대,슈퍼싱글,6,22,2,무관,무관,13.214032390746008,0,36.549598468317086,20029179.960637797
