,month,hour,exposure,holiday,category,midcategory,subcategory,repeat,sex,installment,code,count_log,price_log
0,6,6,20,0,의류,상의,셔츠,1,남성,무관,201971,,10.998777662206932
1,6,6,20,0,의류,상의,셔츠,2,남성,무관,201971,,10.998777662206932
2,6,7,20,0,의류,상의,셔츠,3,남성,무관,201971,,10.998777662206932
3,6,7,20,0,속옷,속옷,속옷,1,무관,무관,202278,,11.154835234271214
4,6,7,20,0,속옷,속옷,속옷,2,무관,무관,202278,,11.154835234271214
5,6,8,20,0,속옷,속옷,속옷,3,무관,무관,202278,,11.154835234271214
6,6,8,20,0,이미용,헤어,헤어드라이어,1,무관,무관,201247,,10.985309671896763
7,6,8,20,0,이미용,헤어,헤어드라이어,2,무관,무관,201247,,10.985309671896763
8,6,9,20,0,이미용,헤어,헤어드라이어,3,무관,무관,201247,,10.985309671896763
9,6,9,20,0,주방,냄비,냄비,1,무관,무관,201956,,11.599112335481124
10,6,9,20,0,주방,냄비,냄비,2,무관,무관,201956,,11.599112335481124
11,6,10,20,0,주방,냄비,냄비,3,무관,무관,201956,,11.599112335481124
12,6,10,20,0,속옷,속옷,속옷,1,무관,무관,201091,,11.000448478455008
13,6,10,20,0,속옷,속옷,속옷,2,무관,무관,201091,,11.000448478455008
14,6,11,20,0,속옷,속옷,속옷,3,무관,무관,201091,,11.000448478455008
15,6,11,20,0,농수축,김치,김치,1,무관,무관,200016,,10.61890979160975
16,6,11,20,0,농수축,김치,김치,2,무관,무관,200016,,10.61890979160975
17,6,12,20,0,농수축,김치,김치,3,무관,무관,200016,,10.61890979160975
18,6,12,20,0,속옷,속옷,속옷,1,무관,무관,200217,,11.511934974596555
19,6,12,20,0,속옷,속옷,속옷,2,무관,무관,200217,,11.511934974596555
20,6,13,20,0,속옷,속옷,속옷,3,무관,무관,200217,,11.511934974596555
21,6,15,20,0,이미용,자외선차단,선스틱,1,무관,무관,201150,,10.594156665220533
22,6,15,20,0,이미용,자외선차단,선스틱,2,무관,무관,201150,,10.594156665220533
